#word,len,pattern,sortedword
bowstring,9,ABCDEFGHI,bginorstw
box,3,ABC,box
boxcar,6,ABCDEF,abcorx
boxwood,7,ABCDBBE,bdooowx
boxy,4,ABCD,boxy
boy,3,ABC,boy
Boyce,5,ABCDE,Bceoy
boycott,7,ABCDBEE,bcootty
boyfriend,9,ABCDEFGHI,bdefinory
boyhood,7,ABCDBBE,bdhoooy
boyish,6,ABCDEF,bhiosy
bpi,3,ABC,bip
bra,3,ABC,abr
brace,5,ABCDE,abcer
bracelet,8,ABCDEFEG,abceelrt
brachia,7,ABCDEFC,aabchir
brachium,8,ABCDEFGH,abchimru
bracken,7,ABCDEFG,abceknr
bracket,7,ABCDEFG,abcekrt
brackish,8,ABCDEFGH,abchikrs
brad,4,ABCD,abdr
Bradbury,8,ABCDAEBF,Babdrruy
Bradford,8,ABCDEFBD,Baddforr
Bradley,7,ABCDEFG,Badelry
Bradshaw,8,ABCDEFCG,Baadhrsw
Brady,5,ABCDE,Badry
brae,4,ABCD,aber
brag,4,ABCD,abgr
braggadocio,11,ABCDDCEFGHF,aabcdggioor
bragged,7,ABCDDEF,abdeggr
bragger,7,ABCDDEB,abeggrr
bragging,8,ABCDDEFD,abggginr
Brahms,6,ABCDEF,Bahmrs
braid,5,ABCDE,abdir
braille,7,ABCDEEF,abeillr
brain,5,ABCDE,abinr
Brainard,8,ABCDECBF,Baadinrr
brainchild,10,ABCDEFGDHI,abcdhiilnr
brainstorm,10,ABCDEFGHBI,abimnorrst
brainwash,9,ABCDEFCGH,aabhinrsw
brainy,6,ABCDEF,abinry
brake,5,ABCDE,abekr
brakeman,8,ABCDEFCG,aabekmnr
brakemen,8,ABCDEFEG,abeekmnr
bramble,7,ABCDAEF,abbelmr
brambly,7,ABCDAEF,abblmry
bran,4,ABCD,abnr
branch,6,ABCDEF,abchnr
branched,8,ABCDEFGH,abcdehnr
Branchville,11,ABCDEFGHIIJ,Bacehillnrv
brand,5,ABCDE,abdnr
Brandeis,8,ABCDEFGH,Badeinrs
Brandel,7,ABCDEFG,Badelnr
Brandenburg,11,ABCDEFDAGBH,Babdegnnrru
brandish,8,ABCDEFGH,abdhinrs
Brandon,7,ABCDEFD,Badnnor
brandy,6,ABCDEF,abdnry
brandywine,10,ABCDEFGHDI,abdeinnrwy
Braniff,7,ABCDEFF,Baffinr
Brannon,7,ABCDDED,Bannnor
brash,5,ABCDE,abhrs
Brasilia,8,ABCDEFEC,Baaiilrs
brass,5,ABCDD,abrss
brassiere,9,ABCDDEFBF,abeeirrss
brassy,6,ABCDDE,abrssy
brat,4,ABCD,abrt
bratwurst,9,ABCDEFBGD,abrrsttuw
Braun,5,ABCDE,Banru
bravado,7,ABCDCEF,aabdorv
brave,5,ABCDE,aberv
bravery,7,ABCDEBF,aberrvy
bravo,5,ABCDE,aborv
bravura,7,ABCDEBC,aabrruv
brawl,5,ABCDE,ablrw
brawn,5,ABCDE,abnrw
bray,4,ABCD,abry
braze,5,ABCDE,aberz
brazen,6,ABCDEF,abenrz
brazier,7,ABCDEFB,abeirrz
Brazil,6,ABCDEF,Bailrz
Brazilian,9,ABCDEFECG,Baaiilnrz
breach,6,ABCDEF,abcehr
bread,5,ABCDE,abder
breadboard,10,ABCDEAFDBE,aabbddeorr
breadfruit,10,ABCDEFBGHI,abdefirrtu
breadwinner,11,ABCDEFGHHCB,abdeeinnrrw
break,5,ABCDE,abekr
breakable,9,ABCDEDAFC,aabbeeklr
breakage,8,ABCDEDFC,aabeegkr
breakaway,9,ABCDEDFDG,aaabekrwy
breakdown,9,ABCDEFGHI,abdeknorw
breakfast,9,ABCDEFDGH,aabefkrst
breakpoint,10,ABCDEFGHIJ,abeiknoprt
breakthrough,12,ABCDEFGBHIJG,abeghhkorrtu
breakthroughs,13,ABCDEFGBHIJGK,abeghhkorrstu
breakup,7,ABCDEFG,abekpru
breakwater,10,ABCDEFDGCB,aabeekrrtw
breast,6,ABCDEF,aberst
breastfed,9,ABCDEFGCH,abdeefrst
breastfeed,10,ABCDEFGCCH,abdeeefrst
breastplate,11,ABCDEFGHDFC,aabeelprstt
breastwork,10,ABCDEFGHBI,abekorrstw
breath,6,ABCDEF,abehrt
breathable,10,ABCDEFDAGC,aabbeehlrt
breathe,7,ABCDEFC,abeehrt
breathless,10,ABCDEFGCHH,abeehlrsst
breaths,7,ABCDEFG,abehrst
breathtaking,12,ABCDEFEDGHIJ,aabeghiknrtt
breathy,7,ABCDEFG,abehrty
bred,4,ABCD,bder
breech,6,ABCCDE,bceehr
breed,5,ABCCD,bdeer
breeze,6,ABCCDC,beeerz
